sample_id,sentence,human_mean,ensemble_mean,abs_err,n_annotators,model_vote_std
s10_all,The seller recommended the model.,5.875,6.333333333333333,0.45833333333333304,9,0.7632168761236875
s10_animate,The seller recommended the dress.,6.275,6.788888888888889,0.5138888888888884,9,0.3680843804226297
s10_global,The seller recommended the designer.,5.9024,4.916666666666667,0.9857333333333331,9,0.7553972464869063
s10_name,The seller recommended Pierre.,4.75,4.800000000000001,0.05000000000000071,9,1.149728228756692
s10_plural,The seller recommended the designers.,5.6,4.5,1.0999999999999996,9,0.6684870978560469
s1_all,The nurse fetched the patient.,6.2683,5.855555555555556,0.4127444444444439,9,0.9190499321461146
s1_animate,The nurse fetched the file.,6.225,5.949999999999999,0.27500000000000036,9,0.7681145747868607
s1_global,The nurse fetched the intern.,5.1,5.294444444444444,0.19444444444444464,9,0.35746017649212025
s1_name,The nurse fetched Matt.,4.9,5.272222222222222,0.3722222222222218,9,0.6180165405913053
s1_plural,The nurse fetched the interns.,5.45,5.477777777777778,0.02777777777777768,9,0.4596949471600101
s2_all,The waiter watched the critic.,5.125,5.716666666666667,0.5916666666666668,9,0.722841614740048
s2_animate,The waiter watched the cake.,3.675,3.3555555555555556,0.3194444444444442,9,0.556464534159885
s2_global,The waiter watched the chef.,5.95,5.944444444444445,0.005555555555555536,9,0.3972125095937662
s2_name,The waiter watched Louis.,5.6585,5.205555555555556,0.45294444444444437,9,0.611578104396959
s2_plural,The waiter watched the chefs.,5.725,5.844444444444445,0.11944444444444535,9,0.3440970470343763
s3_all,The art dealer brought the buyer.,3.325,5.816666666666666,2.4916666666666663,9,0.5926634795564849
s3_animate,The art dealer brought the portrait.,5.6,6.827777777777778,1.2277777777777787,9,0.31633754826837185
s3_global,The art dealer brought the artist.,3.3,5.733333333333333,2.4333333333333336,9,0.5984354601792912
s3_name,The art dealer brought Ethan.,3.35,4.127777777777777,0.7777777777777772,9,0.656273147739906
s3_plural,The art dealer brought the artists.,3.8537,5.677777777777778,1.8240777777777781,9,0.43811464760316393
s4_all,The dean observed the scientist.,4.125,5.272222222222222,1.1472222222222221,9,0.6225507565206586
s4_animate,The dean observed the result.,5.2195,5.594444444444445,0.37494444444444497,9,0.3486083443891981
s4_global,The dean observed the student.,5.95,5.961111111111111,0.011111111111111072,9,0.5278362540704371
s4_name,The dean observed Tony.,5.375,5.4,0.025000000000000355,9,0.47696960070847294
s4_plural,The dean observed the students.,6.375,6.4944444444444445,0.11944444444444446,9,0.33952581312438934
s5_all,The owner payed for the worker.,4.175,4.605555555555556,0.43055555555555625,9,1.197508988599993
s5_animate,The owner payed for the tractor.,4.65,6.172222222222222,1.5222222222222213,9,0.6778233135887586
s5_global,The owner payed for the farmer.,2.7561,3.033333333333333,0.2772333333333332,9,1.1104616157256404
s5_name,The owner payed for Joe.,3.65,4.199999999999999,0.5499999999999994,9,1.4815532390029054
s5_plural,The owner payed for the farmers.,3.35,3.75,0.3999999999999999,9,1.5010413052278075
s6_all,The judge needed the witness.,5.8049,6.688888888888889,0.8839888888888892,9,0.4166666666666667
s6_animate,The judge needed the camera.,3.825,3.5888888888888886,0.2361111111111116,9,0.7114148656804348
s6_global,The judge needed the lawyer.,5.1,6.35,1.25,9,0.6873863542433759
s6_name,The judge needed Joel.,3.475,4.5055555555555555,1.0305555555555554,9,0.8308295720409679
s6_plural,The judge needed the lawyers.,6.125,6.694444444444445,0.5694444444444446,9,0.4376388668500294
s7_all,The audience liked the actor.,6.625,6.955555555555556,0.3305555555555557,9,0.13333333333333344
s7_animate,The audience liked the newspaper.,4.55,3.05,1.5,9,0.6754628043053148
s7_global,The audience liked the reviewer.,4.075,4.911111111111111,0.8361111111111112,9,0.4449563024737498
s7_name,The audience liked Tom.,6.3171,6.7444444444444445,0.4273444444444445,9,0.39721250959376614
s7_plural,The audience liked the reviewers.,3.95,4.088888888888889,0.1388888888888884,9,0.8271856569785958
s8_all,The neighbour heard the child.,6.55,6.616666666666666,0.06666666666666643,9,0.37249161064378356
s8_animate,The neighbour heard the alarm.,6.65,6.861111111111111,0.21111111111111036,9,0.32956199888808646
s8_global,The neighbour heard the parent.,5.575,4.966666666666667,0.6083333333333334,9,0.5830951894845299
s8_name,The neighbour heard Anna.,6.075,6.083333333333333,0.00833333333333286,9,0.3840572873934305
s8_plural,The neighbour heard the parents.,5.2927,5.7444444444444445,0.4517444444444445,9,0.34950361625851273
s9_all,The guide observed the visitor.,6.025,6.455555555555556,0.43055555555555536,9,0.4666666666666667
s9_animate,The guide observed the painting.,5.561,6.35,0.7889999999999997,9,0.40311288741492746
s9_global,The guide observed the sculptor.,4.95,5.0055555555555555,0.05555555555555536,9,0.8412952976082642
s9_name,The guide ovserved Claude.,5.125,4.338888888888889,0.7861111111111114,9,1.2936812246883354
s9_plural,The guide observed the sculptors.,4.525,5.555555555555555,1.030555555555555,9,0.5335286100836373
