model_id,mode,pearson_r,mean_cost_per_sentence_usd,human_cost_per_sentence_usd,cost_ratio_vs_human,times_cheaper_than_human,est_cost_per_hour_usd,mean_latency_s_per_call,pricing_source,cost_mode,cheaper_than_human
gpt-5.6-luna,T,0.7850968602212802,0.02686536,3.2,0.00835365671641791,119.70805528010791,,,openrouter_openai_gpt-5.6-luna_2026-07-26,api,True
gpt-5.6-luna,ORIG,0.7776668912632118,0.0159432,3.2,0.004957462686567164,201.716092127051,,,openrouter_openai_gpt-5.6-luna_2026-07-26,api,True
gpt-5.6-sol,ORIG,0.7331366186783372,0.0398568,3.2,0.012393283582089552,80.68886614078401,,,openrouter_openai_gpt-5.6-sol_2026-07-26,api,True
gpt-5.6-sol,T,0.7061714127966138,0.0583944,3.2,0.018157462686567163,55.07377419752579,,,openrouter_openai_gpt-5.6-sol_2026-07-26,api,True
moonshotai/kimi-k3,T,0.6954308413670434,0.053041080000000004,3.2,0.01649287313432836,60.632249569578896,2.868620505027015,7.396039999999999,openrouter_kimi-k3_2026-07-26,api,True
moonshotai/kimi-k3,ORIG,0.6918198235713622,0.012152099999999999,3.2,0.003778638059701492,264.64561680697165,2.977794961085707,2.938252,openrouter_kimi-k3_2026-07-26,api,True
google/gemini-3.6-flash,T,0.6809701479030159,0.07494849,3.2,0.023304878731343286,42.90947022414994,6.84091110540925,3.944132,openrouter_gemini-3.6-flash_2026-07-26,api,True
z-ai/glm-5.2,T,0.6677649295195878,0.04375039356,3.2,0.013603978097014925,73.50791017661419,0.570411782232865,18.40792,openrouter_glm-5.2_2026-07-26,api,True
google/gemma-4-31b-it,T,0.6421068219555699,0.00896393,3.2,0.0027872916666666667,358.771208610509,0.11280848276747339,14.303068,openrouter_gemma-4-31b-it_2026-07-26,api,True
google/gemma-3-12b-it,ORIG,0.6402469432971583,0.00077214,3.2,0.00024009328358208954,4165.047789261015,0.1258690188868915,1.1042049999999999,openrouter_gemma-3-12b-it_2026-07-26,api,True
z-ai/glm-5.2,ORIG,0.6281695742666508,0.00245274228,3.2,0.000762668619402985,1311.185454021692,0.8169151254533343,2.16176,openrouter_glm-5.2_2026-07-26,api,True
deepseek/deepseek-v4-flash,T,0.5943783794234444,0.0095023264,3.2,0.0029547034825870644,338.4434363357588,0.2537482875442171,3.3703060000000002,openrouter_deepseek-v4-flash_2026-07-26,api,True
deepseek/deepseek-v4-flash,ORIG,0.5488178211758419,0.001994048,3.2,0.0006200398009950248,1612.799691883044,0.23479215128068928,1.5287080000000002,openrouter_deepseek-v4-flash_2026-07-26,api,True
openai/gpt-4.1-mini,ORIG,0.5251472150749914,0.006736608000000001,3.2,0.002094716417910448,477.39158935773014,0.705951820668279,1.717666,openrouter_openai_gpt-4.1-mini_2026-07-26,api,True
google/gemma-4-31b-it,ORIG,0.4880091640967146,0.0021791920000000004,3.2,0.0006776094527363185,1475.7763427912728,0.3661806656989092,1.071205,openrouter_gemma-4-31b-it_2026-07-26,api,True
