model_id,mode,pearson_r,mae,rmse,bias_model_minus_human,slope,note
gpt-5.6-luna,T,0.7850968602212802,0.5739839999999999,0.7493797403186184,0.354816,0.7036515426348474,
gpt-5.6-luna,ORIG,0.7776668912632118,0.6199119999999999,0.7856968850644629,0.3088159999999999,0.8235681071481022,
gpt-4 (paper),ORIG*,0.7546998299324308,0.5822320000000001,0.7487967216808578,0.06386800000000005,0.7769079970192213,from data/ready gpt4_mean; not openai/gpt-4.1-mini
gpt-5.6-sol,ORIG,0.7331366186783372,0.637764,0.854941398693501,0.35781599999999997,0.7517999300512321,
gpt-5.6-sol,T,0.7061714127966138,0.6757639999999999,0.903664979513979,0.401816,0.7153472520531556,
moonshotai/kimi-k3,T,0.6954308413670434,0.6497791111111111,0.832922005235147,0.24803822222222227,0.6514750296838349,
moonshotai/kimi-k3,ORIG,0.6918198235713622,0.6679600000000001,0.9270080879906065,0.125816,0.8212399649910265,
google/gemini-3.6-flash,T,0.6809701479030159,0.816644,1.059275221649218,0.6438159999999999,0.6862816233847373,
z-ai/glm-5.2,T,0.6677649295195878,0.9250589010989012,1.1779581757152484,-0.7003341831501833,0.7872478679202357,
google/gemma-4-31b-it,T,0.6421068219555699,0.8146439999999999,1.0717616317073495,0.6468160000000001,0.5893922935425526,
google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,1.4563204301251838,0.19081599999999999,1.1411598652426254,
z-ai/glm-5.2,ORIG,0.6281695742666508,0.865644,1.0943187813429869,0.565816,0.6698776049010076,
deepseek/deepseek-v4-flash,T,0.5943783794234444,0.7694840000000001,1.045238391564336,0.503316,0.5557420809194896,
deepseek/deepseek-v4-flash,ORIG,0.5488178211758419,0.6999360000000001,0.9543987611056504,0.193816,0.47030828501391153,
openai/gpt-4.1-mini,ORIG,0.5251472150749914,0.871692,1.1518554575987388,0.216816,0.6237029260270196,
google/gemma-4-31b-it,ORIG,0.4880091640967146,0.930984,1.2161735053848197,0.594816,0.4874196619728573,
