model_id,mode,pearson_r,mae,delta_r,delta_mae,bias_model_minus_human,slope,beats_baseline,baseline_model,baseline_mode,baseline_pearson_r,baseline_mae,baseline_bias,baseline_slope
gpt-5.6-luna,T,0.7850968602212802,0.5739839999999999,0.14484991692412197,-0.6125120000000001,0.354816,0.7036515426348474,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
gpt-5.6-luna,ORIG,0.7776668912632118,0.6199119999999999,0.1374199479660535,-0.5665840000000001,0.3088159999999999,0.8235681071481022,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
gpt-5.6-sol,ORIG,0.7331366186783372,0.637764,0.09288967538117898,-0.548732,0.35781599999999997,0.7517999300512321,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
gpt-5.6-sol,T,0.7061714127966138,0.6757639999999999,0.06592446949945552,-0.5107320000000001,0.401816,0.7153472520531556,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
moonshotai/kimi-k3,T,0.6954308413670434,0.6497791111111111,0.05518389806988511,-0.5367168888888889,0.24803822222222227,0.6514750296838349,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
moonshotai/kimi-k3,ORIG,0.6918198235713622,0.6679600000000001,0.051572880274203925,-0.5185359999999999,0.125816,0.8212399649910265,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
google/gemini-3.6-flash,T,0.6809701479030159,0.816644,0.040723204605857655,-0.36985199999999996,0.6438159999999999,0.6862816233847373,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
z-ai/glm-5.2,T,0.6677649295195878,0.9250589010989012,0.027517986222429514,-0.2614370989010988,-0.7003341831501833,0.7872478679202357,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
google/gemma-4-31b-it,T,0.6421068219555699,0.8146439999999999,0.00185987865841164,-0.37185200000000007,0.6468160000000001,0.5893922935425526,True,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.0,0.0,0.19081599999999999,1.1411598652426254,False,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
z-ai/glm-5.2,ORIG,0.6281695742666508,0.865644,-0.01207736903050749,-0.320852,0.565816,0.6698776049010076,False,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
deepseek/deepseek-v4-flash,T,0.5943783794234444,0.7694840000000001,-0.04586856387371385,-0.41701199999999994,0.503316,0.5557420809194896,False,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
deepseek/deepseek-v4-flash,ORIG,0.5488178211758419,0.6999360000000001,-0.09142912212131638,-0.4865599999999999,0.193816,0.47030828501391153,False,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
openai/gpt-4.1-mini,ORIG,0.5251472150749914,0.871692,-0.11509972822216685,-0.314804,0.216816,0.6237029260270196,False,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
google/gemma-4-31b-it,ORIG,0.4880091640967146,0.930984,-0.15223777920044368,-0.25551199999999996,0.594816,0.4874196619728573,False,google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254
